[0114/003303.600:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0114/123508.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123526.099:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123531.118:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123536.142:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123541.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123546.185:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123551.198:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123556.229:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123601.240:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123606.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123611.263:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123616.279:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/123621.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0114/214429.969:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0115/033212.174:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
